videoname,poi,context,value
0,Alec Guinness,0,
1,Alec Guinness,1,
2,Barack Obama,2,
3,Alec Guinness,3,
4,Christopher Hitchens,4,
5,Ayn Rand,5,
6,Barack Obama,6,
7,Donald Trump,7,
8,Donald Trump,8,
9,Alec Guinness,9,
10,Bernie Sanders,10,
11,Christopher Hitchens,11,
12,Calvin Coolidge,12,
13,Alec Guinness,13,
14,Barack Obama,14,
15,Bernie Sanders,15,
16,Winston Churchill,16,
17,Winston Churchill,17,
18,Donald Trump,18,
19,Bob Ross,19,
20,Donald Trump,20,
21,Richard Nixon,21,
22,2Pac,22,
23,Donald Trump,23,
24,Ronald Reagan,24,
25,Ayn Rand,25,
26,JFK,26,
27,Arnold Schwarzenegger,27,
28,Nick Offerman,28,
29,Bill Clinton,29,
30,Martin Luther King,30,
31,Bill Burr,31,
32,Ronald Reagan,32,
33,Bill Clinton,33,
34,Alec Guinness,34,
35,Ayn Rand,35,
36,Christopher Hitchens,36,
37,Ronald Reagan,37,
38,Barack Obama,38,
39,Christopher Hitchens,39,
40,Christopher Hitchens,40,
41,Donald Trump,41,
42,Bernie Sanders,42,
43,Ayn Rand,43,
44,Bernie Sanders,44,
45,Mark Zuckerberg,45,
46,Alec Guinness,46,
47,Alec Guinness,47,
48,Richard Nixon,48,
49,Barack Obama,49,
50,George W. Bush,50,
51,Dave Chappelle,51,
52,Bernie Sanders,52,
53,Boris Johnson,53,
54,Martin Luther King,54,
55,Bill Clinton,55,
56,JFK,56,
57,Alan Watts,57,
58,Mark Zuckerberg,58,
59,Louis C.K.,59,
60,The Notorious B.I.G.,60,
61,Alec Guinness,61,
62,Ronald Reagan,62,
63,Ayn Rand,63,
64,Ayn Rand,64,
65,Mark Zuckerberg,65,
66,Barack Obama,66,
67,Bernie Sanders,67,
68,Bernie Sanders,68,
69,Bernie Sanders,69,
70,Alan Watts,70,
71,Jimmy Carter,71,
72,Barack Obama,72,
73,Bill Clinton,73,
74,Christopher Hitchens,74,
75,Winston Churchill,75,
76,Bill Clinton,76,
77,Alec Guinness,77,
78,Dwight Eisenhower,78,
79,2Pac,79,
80,Donald Trump,80,
81,Bernie Sanders,81,
82,Alec Guinness,82,
83,Bill Clinton,83,
